Luminosity(L/Lo),Radius(R/Ro),,Star type,Star color,Spectral Class,Temperature (K),Absolute magnitude
0.0056,0.057,,0,Red,M,3341,16.23
0.00067,0.19,,0,Red,M,3432,16.94
0.00024,0.094,,0,Red,M,2983,16.09
0.00034,0.0918,,0,Red,M,2835,16.96
0.00014,0.116,,0,Red,M,2935,18.89
0.00098,0.132,,0,Red,M,3295,17.13
0.00032,0.093,,0,Red,M,2945,18.34
0.00098,0.0911,,0,Red,M,2817,16.45
0.00036,0.118,,0,Red,M,2774,17.39
0.00072,0.12,,0,Red,M,2871,19.43
0.021,0.273,,1,Red,M,3345,12.3
0.022,0.38,,1,Red,M,3607,10.12
0.0085,0.18,,1,Red,M,3304,13.2
0.0088,0.35,,1,Red,M,3150,11.94
0.004,0.291,,1,Red,M,3550,10.89
0.001,0.35,,1,Red,M,3180,11.76
0.0034,0.24,,1,Red,M,2890,13.46
0.0015,0.307,,1,Red,M,3342,11.87
0.0006,0.098,,1,Red,M,2621,12.81
0.00135,0.161,,1,Red,M,3158,13.98
0.00029,0.012,,2,White-Yellow,F,7100,14.09
0.00014,0.0092,,2,White,F,10574,12.02
0.00056,0.0095,,2,white,A,8930,13.78
0.00098,0.015,,2,Blue White,B,17200,12.45
0.00067,0.0089,,2,Blue White,B,14100,12.17
0.00045,0.0109,,2,Blue White,A,9675,13.98
0.00078,0.0092,,2,Blue White,B,12010,12.13
0.00074,0.0087,,2,Blue White,B,10980,11.19
0.00018,0.00892,,2,white,F,13720,12.97
0.0011,0.0131,,2,Blue ,B,19860,11.34
0.59,0.91,,3,yellow-white,F,5300,5.49
0.153,0.865,,3,yellowish,K,4526,6.506
0.085,0.795,,3,yellowish,K,4077,6.228
0.357,1.13,,3,Yellowish,K,4980,4.78
45,2.63,,3,Blue-white,A,9030,1.45
672,6.98,,3,Blue-white,A,11250,-2.3
0.63,0.876,,3,Orange-Red,K,5112,4.68
7.92,1.34,,3,yellow-white,F,7720,2.44
689,7.01,,3,Blue-white,A,12098,0.02
198000,10.2,,3,Blue,O,36108,-4.4
240000,12,,4,Blue,B,33300,-6.5
813000,14,,4,Blue,O,40000,-6.23
127000,36,,4,Blue,O,23000,-5.76
235000,83,,4,Blue,O,17120,-6.89
112000,12,,4,Blue,O,11096,-5.91
231000,42,,4,Blue,O,14245,-6.12
363000,63,,4,Blue,O,24630,-5.83
184000,36,,4,Blue,O,12893,-6.34
142000,57,,4,Blue,O,24345,-6.24
352000,67,,4,Blue,O,33421,-5.79
100000,1289,,5,Red,M,3459,-10.7
126000,1124,,5,Red,M,3605,-10.81
200000,1635,,5,Red,M,3615,-11.33
117000,1486,,5,Red,M,3399,-10.92
132000,1522,,5,Red,M,3610,-10.86
145000,1324,,5,Red,M,3553,-11.03
282000,1534,,5,Red,K,4015,-11.39
74000,876,,5,Red,M,3625,-10.25
229000,1467,,5,Red,G,6850,-10.07
200000,1324,,5,Red,M,3780,-10.7
0.00043,0.0912,,0,Red,M,3323,17.16
0.00093,0.0976,,0,Red,M,3531,19.94
0.00054,0.11,,0,Red,M,3218,20.02
0.00015,0.0932,,0,Red,M,3146,16.92
0.00064,0.109,,0,Red,M,3511,17.12
0.00076,0.121,,0,Red,M,3225,19.63
0.00087,0.0932,,0,Red,M,2935,16.88
0.00019,0.0899,,0,Red,M,2861,16.71
0.000896,0.0782,,0,Red,M,2856,19.56
0.000437,0.0856,,0,Red,M,2731,18.09
0.00019,0.492,,1,Red,M,3095,10.87
0.00023,0.38,,1,Red,M,3607,10.34
0.008,0.31,,1,Red,M,3100,11.17
0.0087,0.34,,1,Red,M,2989,13.12
0.0009,0.62,,1,Red,M,3542,14.23
0.0023,0.73,,1,Red,M,3243,14.75
0.0081,0.24,,1,Red,M,3091,11.43
0.0011,0.56,,1,Red,M,3598,14.26
0.0034,0.34,,1,Red,M,3324,12.23
0.0013,0.256,,1,Red,M,3541,14.33
0.00059,0.00981,,2,Blue White,B,13420,13.67
0.0015,0.0112,,2,Blue,B,21020,11.52
0.0013,0.00934,,2,Blue,B,18290,12.78
0.00082,0.00972,,2,Blue White,B,14520,11.92
0.00067,0.00898,,2,Blue white ,B,11900,11.38
0.00028,0.00879,,2,Blue white,A,8924,14.87
0.00071,0.00945,,2,Blue white,B,12912,12.83
0.00011,0.00892,,2,white,F,14732,12.89
0.00014,0.00878,,2,White,A,7723,14.81
0.00088,0.00996,,2,Blue White,B,12984,11.23
188000,6.02,,3,Blue-white,B,29560,-4.01
38,2.487,,3,Blue-White,A,8945,0.12
1092,5.745,,3,Blue-white,A,14060,-2.04
1278,5.68,,3,Blue-white,B,16390,-3.32
14500,5.92,,3,Blue-white,B,25070,-3.98
16790,6.4,,3,Blue-white,B,28700,-4.09
14520,5.49,,3,Blue-white,B,26140,-3.8
4720,6.78,,3,Blue-white,B,20120,-3.4
998,6.21,,3,Blue-white,A,13023,-1.38
202900,6.86,,3,Blue,O,37800,-4.56
223000,57,,4,Blue,O,25390,-5.92
251000,36,,4,Blue,O,11567,-6.245
452000,83,,4,Blue,O,12675,-5.62
245000,97,,4,Blue,O,5752,-6.63
239000,35,,4,Blue,O,8927,-7.34
131000,24,,4,Blue,O,7282,-7.22
152000,73,,4,Blue,O,19923,-5.69
198000,39,,4,Blue,O,26373,-5.83
342900,30,,4,Blue,O,17383,-6.09
424520,24,,4,Blue,O,9373,-5.99
320000,1480,,5,Red,M,3570,-7.58
138000,1420,,5,Red,M,3500,-8.18
630000,1315,,5,Orange,K,4287,-9.2
316000,1679,,5,Blue,B,26000,-9.1
240000,1190,,5,Red,M,3600,-7.89
145000,1553,,5,Red,M,3614,-7.71
200000,1045,,5,Blue,O,18000,-8.3
170000,1779,,5,Blue-white,B,11000,-9.9
120000,708.9,,5,Blue-white,B,12100,-7.84
248490,1134.5,,5,Blue-white,B,24490,-8.24
0.000231,0.0915,,0,Red,M,2831,16.21
0.000631,0.116,,0,Red,M,2914,18.39
0.000245,0.126,,0,Red,M,3419,17.56
0.000452,0.0987,,0,Red,M,3218,17.34
0.000621,0.0773,,0,Red,M,3453,17.08
0.000352,0.0973,,0,Red,M,2889,16.93
0.000461,0.119,,0,Red,M,2968,17.45
0.000551,0.0998,,0,Red,M,3484,16.67
0.000849,0.112,,0,Red,M,2778,19.45
0.000957,0.129,,0,Red,M,3523,16.35
0.0053,0.148,,1,Red,M,3462,11.47
0.0024,0.46,,1,Red,M,3257,10.73
0.0072,0.28,,1,Red,M,2994,13.45
0.0016,0.378,,1,Red,M,3212,12.854
0.0054,0.319,,1,Red,M,3523,12.43
0.0027,0.67,,1,Red,M,3598,13.667
0.00132,0.258,,1,Red,M,3142,14.12
0.00125,0.336,,1,Red,M,3496,14.94
0.0065,0.471,,1,Red,M,3324,12.78
0.0027,0.675,,1,Red,M,3463,14.776
0.0014,0.0121,,2,Blue,B,16790,12.87
0.00122,0.0114,,2,Blue,B,15680,11.92
0.00118,0.0113,,2,Blue,B,14982,12.23
0.00109,0.0116,,2,Blue,B,13340,12.9
0.00134,0.0124,,2,Blue,B,18340,11.22
0.00156,0.0142,,2,Blue,B,19920,11.34
0.00159,0.0127,,2,Blue,B,24020,10.55
0.00132,0.0104,,2,Blue,B,23092,10.18
0.00111,0.0106,,2,Blue,B,17920,11.66
0.00125,0.00998,,2,Blue,B,19360,11.62
12450,6.36,,3,Blue-white,B,22350,-3.67
552,5.856,,3,Blue-white,A,10012,0.013
788,5.992,,3,Blue-white,A,13089,-0.12
6748,6.64,,3,Blue-white,B,22012,-2.55
198200,6.39,,3,Blue,O,34190,-4.57
173800,6.237,,3,Blue,O,32460,-4.36
29,1.91,,3,Blue-white,A,9320,1.236
10920,6.03,,3,Blue-white,B,19400,-3.08
883,5.653,,3,Blue-white,B,17140,-2.64
9.25,1.93,,3,yellow-white,F,8250,-0.98
244290,35,,4,Blue,O,23678,-6.27
332520,76,,4,Blue,O,12749,-7.02
342940,98,,4,Blue,O,9383,-6.98
537430,81,,4,Blue,O,23440,-5.975
246730,62,,4,Blue,O,16787,-6.35
224780,46,,4,Blue,O,18734,-7.45
593900,80,,4,Blue,O,9892,-7.262
783930,25,,4,Blue,O,10930,-6.224
347820,86,,4,Blue,O,23095,-5.905
748890,92,,4,Blue,O,21738,-7.346
382993,1494,,5,Blue-white,B,24145,-8.84
272830,1356,,5,Blue,O,38234,-9.29
648430,1948.5,,5,Blue,O,32489,-10.84
849420,1252,,5,Blue-white,B,27739,-7.59
748490,1130,,5,Blue-white,B,21904,-7.67
374830,1356,,5,Blue,O,38940,-9.93
834042,1194,,5,Blue,O,30839,-10.63
537493,1423,,5,White,A,8829,-10.73
404940,1112,,5,White,A,9235,-11.23
294903,1783,,5,Blue,O,37882,-7.8
